outcome,feature_set,model,metric,value
gose_12m,Clinical,LASSO,R2,0.4085925330168898
gose_12m,Clinical,RF,R2,0.36068891171652046
gose_12m,Clinical+DetQSP,LASSO,R2,0.40788449617930295
gose_12m,Clinical+DetQSP,RF,R2,0.36343569809601306
gose_12m,Clinical+BayesODE,LASSO,R2,0.40973316796251924
gose_12m,Clinical+BayesODE,RF,R2,0.36135018607849356
gose_12m,Clinical+Drug,LASSO,R2,0.40864649135821596
gose_12m,Clinical+Drug,RF,R2,0.3574727044539179
gose_12m,Clinical+All,LASSO,R2,0.407719915367342
gose_12m,Clinical+All,RF,R2,0.3563483578004264
fim_total_12m,Clinical,LASSO,R2,0.5138797710387216
fim_total_12m,Clinical,RF,R2,0.4602446528152263
fim_total_12m,Clinical+DetQSP,LASSO,R2,0.5085106452633573
fim_total_12m,Clinical+DetQSP,RF,R2,0.46788643050223433
fim_total_12m,Clinical+BayesODE,LASSO,R2,0.5146166330311691
fim_total_12m,Clinical+BayesODE,RF,R2,0.45986594442120377
fim_total_12m,Clinical+Drug,LASSO,R2,0.5132719237776099
fim_total_12m,Clinical+Drug,RF,R2,0.4611557047831495
fim_total_12m,Clinical+All,LASSO,R2,0.5092669872029412
fim_total_12m,Clinical+All,RF,R2,0.46271841493340576
barthel_12m,Clinical,LASSO,R2,0.489353295916373
barthel_12m,Clinical,RF,R2,0.44358379118897784
barthel_12m,Clinical+DetQSP,LASSO,R2,0.4820759897257633
barthel_12m,Clinical+DetQSP,RF,R2,0.44046418463744486
barthel_12m,Clinical+BayesODE,LASSO,R2,0.4899625260987704
barthel_12m,Clinical+BayesODE,RF,R2,0.435916783164047
barthel_12m,Clinical+Drug,LASSO,R2,0.488067630343628
barthel_12m,Clinical+Drug,RF,R2,0.43793326579271463
barthel_12m,Clinical+All,LASSO,R2,0.48371363648658167
barthel_12m,Clinical+All,RF,R2,0.43431064082317816
hads_anxiety_12m,Clinical,LASSO,R2,0.31296539790785466
hads_anxiety_12m,Clinical,RF,R2,0.25405209251394584
hads_anxiety_12m,Clinical+DetQSP,LASSO,R2,0.31384934635752126
hads_anxiety_12m,Clinical+DetQSP,RF,R2,0.2513017546278097
hads_anxiety_12m,Clinical+BayesODE,LASSO,R2,0.3125949484961279
hads_anxiety_12m,Clinical+BayesODE,RF,R2,0.26465352072728016
hads_anxiety_12m,Clinical+Drug,LASSO,R2,0.31284606208247545
hads_anxiety_12m,Clinical+Drug,RF,R2,0.25619713461307664
hads_anxiety_12m,Clinical+All,LASSO,R2,0.31329558572619065
hads_anxiety_12m,Clinical+All,RF,R2,0.2621159060233379
moca_12m,Clinical,LASSO,R2,0.16125563414104097
moca_12m,Clinical,RF,R2,0.11027873749967636
moca_12m,Clinical+DetQSP,LASSO,R2,0.1594916154189472
moca_12m,Clinical+DetQSP,RF,R2,0.10923614925999008
moca_12m,Clinical+BayesODE,LASSO,R2,0.1599061192864332
moca_12m,Clinical+BayesODE,RF,R2,0.10991615745833101
moca_12m,Clinical+Drug,LASSO,R2,0.1589257586074706
moca_12m,Clinical+Drug,RF,R2,0.1166720091268845
moca_12m,Clinical+All,LASSO,R2,0.15468886182466618
moca_12m,Clinical+All,RF,R2,0.11218311981037962
qolibri_os_12m,Clinical,LASSO,R2,0.16275209259439602
qolibri_os_12m,Clinical,RF,R2,0.10901310775340493
qolibri_os_12m,Clinical+DetQSP,LASSO,R2,0.16177587711696018
qolibri_os_12m,Clinical+DetQSP,RF,R2,0.08503042896286321
qolibri_os_12m,Clinical+BayesODE,LASSO,R2,0.16263847980329316
qolibri_os_12m,Clinical+BayesODE,RF,R2,0.10771289822221339
qolibri_os_12m,Clinical+Drug,LASSO,R2,0.16267416150218025
qolibri_os_12m,Clinical+Drug,RF,R2,0.11796199079207961
qolibri_os_12m,Clinical+All,LASSO,R2,0.16190994464076272
qolibri_os_12m,Clinical+All,RF,R2,0.08696384267527364
drs_12m,Clinical,LASSO,R2,0.2546589132906193
drs_12m,Clinical,RF,R2,0.20592449353877304
drs_12m,Clinical+DetQSP,LASSO,R2,0.25288933572735217
drs_12m,Clinical+DetQSP,RF,R2,0.1917862159301283
drs_12m,Clinical+BayesODE,LASSO,R2,0.25564675651948043
drs_12m,Clinical+BayesODE,RF,R2,0.1997476173992334
drs_12m,Clinical+Drug,LASSO,R2,0.25451820593983854
drs_12m,Clinical+Drug,RF,R2,0.2027358568764468
drs_12m,Clinical+All,LASSO,R2,0.25314393330170964
drs_12m,Clinical+All,RF,R2,0.19848068581198453
return_to_work_12m,Clinical,LogReg,AUC,0.7481187127214458
return_to_work_12m,Clinical,RF,AUC,0.8107783613757086
return_to_work_12m,Clinical+DetQSP,LogReg,AUC,0.7455763524140182
return_to_work_12m,Clinical+DetQSP,RF,AUC,0.7676929582480192
return_to_work_12m,Clinical+BayesODE,LogReg,AUC,0.7156310276269326
return_to_work_12m,Clinical+BayesODE,RF,AUC,0.7873344164515268
return_to_work_12m,Clinical+Drug,LogReg,AUC,0.7013988545654174
return_to_work_12m,Clinical+Drug,RF,AUC,0.78862503338378
return_to_work_12m,Clinical+All,LogReg,AUC,0.7397335974361258
return_to_work_12m,Clinical+All,RF,AUC,0.7535050372414611
mortality_12m,Clinical,LogReg,AUC,0.5641710501182431
mortality_12m,Clinical,RF,AUC,0.5727773792188044
mortality_12m,Clinical+DetQSP,LogReg,AUC,0.5788707479822579
mortality_12m,Clinical+DetQSP,RF,AUC,0.5506262690000193
mortality_12m,Clinical+BayesODE,LogReg,AUC,0.5679579471484111
mortality_12m,Clinical+BayesODE,RF,AUC,0.5636701053084032
mortality_12m,Clinical+Drug,LogReg,AUC,0.5486925002992677
mortality_12m,Clinical+Drug,RF,AUC,0.5420599840217888
mortality_12m,Clinical+All,LogReg,AUC,0.5729061924432342
mortality_12m,Clinical+All,RF,AUC,0.5447990408292895
