,gose_12m,fim_total_12m,barthel_12m,mrs_12m,drs_12m,cog_composite_12m,moca_12m,hads_anxiety_12m,hads_depression_12m,phq9_12m,pcl5_12m,sf36_pcs_12m,sf36_mcs_12m,qolibri_os_12m,return_to_work_12m
mech_icp_peak,0.05931968427427198,0.04434678892202914,0.026988867799797724,-0.04190789648020587,-0.06536053925187062,0.00858012517004247,0.001442905275585455,-0.05668000208601277,-0.008746812861285138,-0.06152306825279881,-0.011467527083237106,0.06034766481756622,0.06781596064382024,0.02025630409610226,0.012696954754333903
mech_icp_mean_72h,-0.05276003045964208,-0.08527078238679896,-0.09489626206362146,0.057047272248653316,0.0065801944811630835,-0.06286068317801147,-0.018001067791822326,-0.03876664395420186,0.018100443519229615,-0.03965210552113,-0.00023426252052302142,0.02062645804178628,0.05283643392644041,-0.048319187859776236,0.05665967589773821
mech_icp_auc_7d,-0.03944308075764885,-0.0629003520804391,-0.06773154874959345,0.04179864391142431,-0.004864098206744054,-0.033965490709482744,-6.413124536913182e-05,-0.035576863888429254,0.0032875158338412833,-0.0397032258633213,-0.008612296909669127,0.02719967210430775,0.043640692214953945,-0.03034482116674848,0.06722522931179346
mech_icp_time_above_20,-0.020930360299490615,-0.01860568870275684,-0.022143752241464774,0.004987092880214832,0.007135705269057871,-0.019455430322685922,-0.026830617374050684,-0.0021185762258272784,-0.012095553236888115,-0.04110071618558866,-0.033543697429462775,-0.01078415568625213,0.007427931329336722,-0.006247393882350142,-0.04280953589363092
mech_icp_time_above_25,,,,,,,,,,,,,,,
mech_icp_at_day7,0.009117636512912123,-0.0007465945396858243,-0.0008285258029730784,-0.005662796355091288,-0.0396768146377739,0.025041388412043907,0.03741159252309532,-0.03877513968048357,-0.02494006361488008,-0.046420816418972305,-0.025695392119612217,0.04571246791540554,0.038056177544208585,0.009201925379033091,0.07949600778526805
mech_cpp_min,0.32614192200630354,0.3651728070728297,0.3741277496425134,-0.30972662322986527,-0.24969624417668668,0.2889108804561928,0.21314149852045788,-0.09177222774922253,-0.1623170857587459,-0.10478204679084194,-0.13171307184223208,0.20270019756513863,0.06763301408464394,0.1979423396019125,0.13817878022905514
mech_cpp_mean,0.5596710159542574,0.6047063948980759,0.5992961533289717,-0.5159379691277249,-0.4455574129927552,0.44619181791952356,0.3198264753106903,-0.1953086649299014,-0.25267955406679155,-0.21955380195686505,-0.20821379593456393,0.3663659502237394,0.17055436435270752,0.322959539326974,0.21028092377776916
mech_cpp_time_below_60,-0.33460792013513263,-0.3493024183888899,-0.35337404704653486,0.29936636431006675,0.26723092445014496,-0.2522113873735065,-0.15087557107970426,0.10497427502726354,0.09646650284037989,0.07717156195201882,0.07136305815092185,-0.1920232535426672,-0.08854796688011596,-0.1822592140665777,-0.07844755544153585
mech_ar_index,-0.5520887836110072,-0.5970151143716333,-0.5881907526658843,0.4992084074064285,0.42502867665045213,-0.4618550929333857,-0.32125723009182994,0.1606359719605625,0.19115518552855415,0.14392467067122955,0.1429302239665825,-0.24648922146266902,-0.13663600201982729,-0.31286086229235993,-0.12139728018048374
