feature_set,outcome,model,tier,metric,mean,std
F_BASE,gose_12m,LASSO,T1_Classical,R2,0.6573976183875054,0.049514334048301155
F_BASE,gose_12m,RF,T1_Classical,R2,0.6501716367271447,0.05797244775381756
F_BASE,gose_12m,GBR,T1_Classical,R2,0.6600807729678226,0.05053872142578433
F_BASE,gose_12m,Stacking,T2_Ensemble,R2,0.669815939952036,0.051029800275258996
F_BASE,gose_12m,Ordinal_LR,T3_Ordinal,R2,0.5656318827035279,0.0
F_BASE,fim_total_12m,LASSO,T1_Classical,R2,0.6484061644584054,0.03643705565195441
F_BASE,fim_total_12m,RF,T1_Classical,R2,0.6107669094582981,0.022815165307088082
F_BASE,fim_total_12m,GBR,T1_Classical,R2,0.6356826136885788,0.02413766129030145
F_BASE,fim_total_12m,Stacking,T2_Ensemble,R2,0.6525000661596285,0.03238248730326812
F_BASE,barthel_12m,LASSO,T1_Classical,R2,0.6198271839157952,0.03998443812799021
F_BASE,barthel_12m,RF,T1_Classical,R2,0.5816351331893586,0.029032761002038297
F_BASE,barthel_12m,GBR,T1_Classical,R2,0.6051078381288527,0.02998920968293068
F_BASE,barthel_12m,Stacking,T2_Ensemble,R2,0.6235447736388681,0.03669629181708241
F_BASE,hads_anxiety_12m,LASSO,T1_Classical,R2,0.5192617541707132,0.014211228694970554
F_BASE,hads_anxiety_12m,RF,T1_Classical,R2,0.48011489098979665,0.019236482712402733
F_BASE,hads_anxiety_12m,GBR,T1_Classical,R2,0.5019597931409281,0.014138085261209701
F_BASE,hads_anxiety_12m,Stacking,T2_Ensemble,R2,0.522121852435226,0.01343456999266415
F_BASE,moca_12m,LASSO,T1_Classical,R2,0.3527277378912417,0.02605843606797762
F_BASE,moca_12m,RF,T1_Classical,R2,0.3526886325567332,0.037369676629605976
F_BASE,moca_12m,GBR,T1_Classical,R2,0.39690749315010376,0.022114754732897864
F_BASE,moca_12m,Stacking,T2_Ensemble,R2,0.40381515619091735,0.026021936308684573
F_BASE,return_to_work_12m,LogReg,T1_Classical,AUC,0.8019581626037894,0.012458741710444109
F_BASE,return_to_work_12m,RF,T1_Classical,AUC,0.8339727251300435,0.012102172419178167
F_BASE,return_to_work_12m,GBC,T1_Classical,AUC,0.855706893811082,0.023409718195715468
F_BASE,return_to_work_12m,Stacking,T2_Ensemble,AUC,0.8557900884928411,0.01932930453699971
F_BASE,mortality_12m,LogReg,T1_Classical,AUC,0.5768883335753369,0.02300121915809997
F_BASE,mortality_12m,RF,T1_Classical,AUC,0.5788365734923029,0.023198906601487677
F_BASE,mortality_12m,GBC,T1_Classical,AUC,0.5873399947057983,0.035894969358642025
F_BASE,mortality_12m,Stacking,T2_Ensemble,AUC,0.5829567813484757,0.021162337150383993
F_MECH,gose_12m,LASSO,T1_Classical,R2,0.6588320396646241,0.0482523135908806
F_MECH,gose_12m,RF,T1_Classical,R2,0.6516762664173779,0.052400280832430916
F_MECH,gose_12m,GBR,T1_Classical,R2,0.657061510437311,0.052282269211743136
F_MECH,gose_12m,Stacking,T2_Ensemble,R2,0.6703990248430463,0.04889983180189679
F_MECH,gose_12m,Ordinal_LR,T3_Ordinal,R2,0.5645287255802354,0.0
F_MECH,fim_total_12m,LASSO,T1_Classical,R2,0.643452632863652,0.031050659673249884
F_MECH,fim_total_12m,RF,T1_Classical,R2,0.6129381231332787,0.01977044931075052
F_MECH,fim_total_12m,GBR,T1_Classical,R2,0.6299058597046334,0.02132466987879791
F_MECH,fim_total_12m,Stacking,T2_Ensemble,R2,0.6454744670974046,0.029357237639143528
F_MECH,barthel_12m,LASSO,T1_Classical,R2,0.6158717829103825,0.03581537141199227
F_MECH,barthel_12m,RF,T1_Classical,R2,0.5862795428102924,0.027886074288326998
F_MECH,barthel_12m,GBR,T1_Classical,R2,0.6047174388915086,0.026205940239537383
F_MECH,barthel_12m,Stacking,T2_Ensemble,R2,0.6200866966948174,0.03295203810907983
F_MECH,hads_anxiety_12m,LASSO,T1_Classical,R2,0.5194655559504164,0.014047873984744899
F_MECH,hads_anxiety_12m,RF,T1_Classical,R2,0.4705948328823327,0.015840824690765212
F_MECH,hads_anxiety_12m,GBR,T1_Classical,R2,0.49376722753829927,0.0206001472721037
F_MECH,hads_anxiety_12m,Stacking,T2_Ensemble,R2,0.5219368065749992,0.013331714871794595
F_MECH,moca_12m,LASSO,T1_Classical,R2,0.352285738688809,0.027805456573461645
F_MECH,moca_12m,RF,T1_Classical,R2,0.34057849687669783,0.029631121431598725
F_MECH,moca_12m,GBR,T1_Classical,R2,0.373865079905753,0.028235662484293093
F_MECH,moca_12m,Stacking,T2_Ensemble,R2,0.3907775783359348,0.03100271587899421
F_MECH,return_to_work_12m,LogReg,T1_Classical,AUC,0.7975165460036705,0.015596435112181166
F_MECH,return_to_work_12m,RF,T1_Classical,AUC,0.8100962999338759,0.005839310297581568
F_MECH,return_to_work_12m,GBC,T1_Classical,AUC,0.8467706316781349,0.015973699702035826
F_MECH,return_to_work_12m,Stacking,T2_Ensemble,AUC,0.8475363496341741,0.012957487904990173
F_MECH,mortality_12m,LogReg,T1_Classical,AUC,0.5767281068926801,0.020673706745639685
F_MECH,mortality_12m,RF,T1_Classical,AUC,0.5709420555803535,0.01107555095562906
