Outcome,Model,Metric,Clinical_mean,Clinical_sd,Hybrid_mean,Hybrid_sd,Delta_R2,Pct_improvement
gose_12m,LASSO,R²,0.409777747258764,0.04548235392757422,0.40814230773963206,0.04369175725013014,-0.0016354395191319204,-0.3991030599005628
gose_12m,Random Forest,R²,0.3773006702819555,0.05342857100517052,0.3806458175807513,0.048118544326867886,0.0033451472987957587,0.8865975324985835
gose_12m,XGBoost,R²,0.31476286716314766,0.06256730565726436,0.30792836424235626,0.0346851163338432,-0.006834502920791408,-2.171311142663324
fim_total_12m,LASSO,R²,0.5131228666481487,0.042858041016434596,0.5060818116519135,0.04185783068791195,-0.0070410549962351965,-1.372194016666794
fim_total_12m,Random Forest,R²,0.4697415951034703,0.04545742895881383,0.4796025508367837,0.041115630223185276,0.009860955733313415,2.0992253706822863
fim_total_12m,XGBoost,R²,0.4025286532973394,0.06172952271378521,0.4102707839934895,0.05243768393073616,0.007742130696150096,1.923369032003007
barthel_12m,LASSO,R²,0.48918794806767973,0.04787541281874913,0.48289752114486184,0.046889117568199884,-0.006290426922817893,-1.2858890103027445
barthel_12m,Random Forest,R²,0.44786011346945703,0.052234099584960926,0.4538311993266122,0.04795810595808357,0.005971085857155167,1.333244989925293
barthel_12m,XGBoost,R²,0.3796282121109097,0.05546843815989032,0.3853736605294208,0.05366297055527216,0.005745448418511101,1.5134368576548196
mrs_12m,LASSO,R²,0.330387998534941,0.05024011122148058,0.32880427710637605,0.04901181567638329,-0.0015837214285649437,-0.47935053394262883
mrs_12m,Random Forest,R²,0.31195870348061466,0.0503210478456208,0.3029576454765097,0.04910178453975118,-0.009001058004104945,-2.88532714439648
mrs_12m,XGBoost,R²,0.24439862971436477,0.046583418197624876,0.2161386341463169,0.05232261807361203,-0.02825999556804787,-11.563027162142573
drs_12m,LASSO,R²,0.2556380406717791,0.040978122310274284,0.25364939223270166,0.041500062749242034,-0.001988648439077423,-0.7779126513116184
drs_12m,Random Forest,R²,0.22404166268103715,0.05265202778155603,0.22104609381465465,0.04683289940857579,-0.0029955688663824975,-1.337052876686794
drs_12m,XGBoost,R²,0.12021942778070831,0.06854768375677082,0.09997903840322317,0.06202476717359107,-0.020240389377485138,-16.83606501085259
cog_composite_12m,LASSO,R²,0.33622928416354736,0.020574496471406627,0.33446095684045757,0.02329674217084978,-0.0017683273230897911,-0.5259274391326544
cog_composite_12m,Random Forest,R²,0.30461998673324037,0.024171215877746552,0.30848665842805545,0.02837829737548172,0.0038666716948150825,1.2693385758746707
cog_composite_12m,XGBoost,R²,0.22258004330151987,0.022534257874391003,0.2293268614279033,0.051716288649170494,0.006746818126383419,3.0311737362304605
moca_12m,LASSO,R²,0.16149810121268846,0.02328456717855868,0.15625123035830013,0.020293527628588392,-0.005246870854388325,-3.2488545230220116
moca_12m,Random Forest,R²,0.14441933170366622,0.023919026651164015,0.14368672321516782,0.022380622631608012,-0.0007326084884984041,-0.5072751736934324
moca_12m,XGBoost,R²,0.07882532677068203,0.035328153910142185,0.029572799547351238,0.018003368517951656,-0.049252527223330796,-62.48233203433925
hads_anxiety_12m,LASSO,R²,0.434846880983183,0.01933590687219467,0.4364541702620217,0.02041076009938562,0.0016072892788386861,0.3696210443074104
hads_anxiety_12m,Random Forest,R²,0.4043599021087706,0.020278389135437665,0.39726155887311215,0.02063144100782538,-0.007098343235658444,-1.7554474724534654
hads_anxiety_12m,XGBoost,R²,0.3236277861219975,0.027938277881336994,0.3264960475735291,0.02186060688641556,0.0028682614515316285,0.8862813119628943
hads_depression_12m,LASSO,R²,0.2003152390640046,0.020175673075350193,0.19833786356533661,0.02021976083182491,-0.0019773754986679992,-0.9871269088854011
hads_depression_12m,Random Forest,R²,0.18358285255003098,0.029158298455923447,0.17008106879444213,0.025643175104846937,-0.013501783755588859,-7.354559547610158
hads_depression_12m,XGBoost,R²,0.05310323963097809,0.0369652874494738,0.07406356702395608,0.044689106042455226,0.02096032739297799,39.47015819947997
phq9_12m,LASSO,R²,0.3730552085348012,0.03311486852349893,0.37539659906265477,0.033163805533307146,0.002341390527853593,0.6276240615454527
phq9_12m,Random Forest,R²,0.35798349796188417,0.04913672274667656,0.3457385477214567,0.037014691469226,-0.012244950240427488,-3.420525276971979
phq9_12m,XGBoost,R²,0.26875811087410606,0.07511807245314452,0.2577988165420745,0.04528710784231221,-0.010959294332031577,-4.077738721633591
pcl5_12m,LASSO,R²,0.37256886583004534,0.03452242758389984,0.3714906975320842,0.031895168198225715,-0.0010781682979611462,-0.2893868766222153
pcl5_12m,Random Forest,R²,0.33937952396965326,0.04093463470508612,0.33343030743315505,0.04362853099523979,-0.005949216536498214,-1.7529634484948173
pcl5_12m,XGBoost,R²,0.24456953006910903,0.044246478765342566,0.21735987087829436,0.05519344677035387,-0.027209659190814667,-11.125485635217764
sf36_pcs_12m,LASSO,R²,0.17403479806144878,0.06333509135357435,0.16666548812174337,0.05818390461073226,-0.007369309939705415,-4.234364436392247
sf36_pcs_12m,Random Forest,R²,0.14313360017816618,0.06469885660868036,0.14495639083765807,0.07008829457823987,0.0018227906594918963,1.2734801069922894
sf36_pcs_12m,XGBoost,R²,0.001866523889040983,0.07936276705874631,0.020763719526827273,0.09211209533443569,0.01889719563778629,1011.885082096082
sf36_mcs_12m,LASSO,R²,0.16121932559796703,0.03508173100495648,0.16197786573384748,0.0324101374027001,0.0007585401358804478,0.47049907204133123
sf36_mcs_12m,Random Forest,R²,0.1367682156622952,0.03172790967059391,0.13463862449422778,0.03378386269896187,-0.0021295911680674073,-1.5570690800228792
sf36_mcs_12m,XGBoost,R²,0.04439815986572464,0.03863320214338628,0.008040035984448801,0.05820689245726226,-0.036358123881275836,-81.88921590235688
qolibri_os_12m,LASSO,R²,0.17865376538446337,0.01883017658952175,0.17820946082634403,0.01678999132675982,-0.000444304558119335,-0.24869449027189158
qolibri_os_12m,Random Forest,R²,0.14740969877924687,0.02276560897794266,0.13136340086837267,0.019158422986936437,-0.016046297910874197,-10.885436432876652
qolibri_os_12m,XGBoost,R²,0.01305136061976997,0.03174699185731853,0.022024173196033003,0.026594243918223175,0.008972812576263034,68.74474922698825
return_to_work_12m,Logistic-L1,AUC-ROC,0.7607927424134211,0.03453930316530233,0.5500771737266336,0.10015434745326704,-0.21071556868678754,-27.696806235333504
return_to_work_12m,Random Forest,AUC-ROC,0.8200179080673861,0.01993763887684519,0.7923779913412019,0.02282062411170098,-0.027639916726184155,-3.3706438295826238
return_to_work_12m,XGBoost,AUC-ROC,0.8074921165572919,0.018561280039008282,0.8110673187900839,0.020361125462669005,0.003575202232791952,0.4427532767133241
mortality_12m,Logistic-L1,AUC-ROC,0.5205399994064439,0.026113921211618506,0.5,0.0,-0.02053999940644391,-3.9458946422788994
mortality_12m,Random Forest,AUC-ROC,0.5791364336480973,0.021588939855100613,0.5795133863829071,0.018250422449137157,0.00037695273480975455,0.06508864958620568
mortality_12m,XGBoost,AUC-ROC,0.5367849918744562,0.015298628592204535,0.5537207442077988,0.009603023317327819,0.016935752333342657,3.155028743243285
