,GOSE (Functional),Barthel Index (ADL),Cognitive Composite,MoCA (Cognition),HADS-Anxiety,HADS-Depression,PCL-5 (PTSD),SF-36 Mental Component,QOLIBRI-OS (QoL),Social Participation,Return to Work,12-Month Mortality
Age,0.28951426933570623,4.3738178956292355,0.10855704155750875,0.4573256771002793,0.32196721563964875,0.32263862813104766,0.8828273703111107,1.243544449129013,1.8324960545164102,2.6460098814143422,0.8055884681570239,0.3546354337010455
Sex (Male),0.022467817790578937,0.5263984535705492,0.013419287469828364,0.07093796019922435,0.085651249139456,0.10746598808071932,0.16911605417929856,0.23268444166666574,0.708827469380783,0.44458791759809513,0.0623015268309976,0.05194917959236488
Education (years),0.16470917298843463,1.1599211822392463,0.08097285286110677,0.2891985003170601,0.1632311778932343,0.2061180960256654,0.47915706132612745,0.9402455609585344,1.2738488702719044,1.2147948458363829,0.40443971313175575,0.19993620318167576
Marital Status,0.05227858514642776,0.40349036543912337,0.02125415861559889,0.08361211761436128,0.07833358265846221,0.2168624888068658,0.46402400448056513,0.31399064711882463,0.5148939345221434,1.7663272234558738,0.20514546508904505,0.10594903611072307
Pre-injury Employment,0.029281738130259104,0.2620169767630104,0.022589204858099204,0.1530880563485495,0.06767073570377599,0.07581578528895737,0.2512629858376901,0.36828218365076665,0.35224988412071084,0.634824986485102,0.015332027098201504,0.05348768247076307
GCS at Admission,0.5035187531662078,7.057173583721655,0.19146071380323365,0.5927798357686548,0.1482024472745923,0.215870768745445,0.397730407580581,0.8333091126425362,2.5334704175333567,2.110774009166369,0.5485132839055172,0.3821338452519133
APACHE II,0.24322145242963497,2.9655175244163705,0.06693234387362623,0.236478429228584,0.3858998985042244,0.23940473759212128,1.0549941317528586,1.3424836485764846,1.698282970725152,1.3554396071746069,0.3983273455951692,0.27593756347501186
Hypertension,0.018560491426937744,0.6120796186263192,0.010041542292445185,0.09407741735998511,0.041689021447275126,0.08618921250217562,0.1080797584341612,0.2836681583767954,0.25334207324560604,0.34802291327650897,0.0753741298178225,0.10101701719429163
Diabetes,0.033585186346389274,0.244046118729323,0.004982096045357622,0.04594532045848582,0.03819104867963404,0.041220288381131086,0.12186053119731224,0.1719953800780269,0.2846285633595715,0.5451942617036399,0.1935665898943989,0.07546652171872555
Cardiovascular Disease,0.025142589722051967,0.3402931699373146,0.005972568728966308,0.12780996811753007,0.058317926822113335,0.05871846526638983,0.2153574068313965,0.2949320634595687,0.42129457448564034,0.23616505959400977,0.12730152669099074,0.05455160842018794
Prior Psychiatric History,0.011508007046105276,0.235130329950325,0.012346654726069311,0.036847407246121545,0.7698697047588834,0.6929704361855183,2.81579765460088,2.0157992994164653,1.551561963005488,0.7981392789491347,0.07036479064815448,0.0566175805972299
Prior Brain Injury,0.009777677867634614,0.3232633762809615,0.003939281844099124,0.028036074395927747,0.041632987025304824,0.03214260590494403,0.09478054191390682,0.10571217775640104,0.10337805439176008,0.15144468680807002,0.035957630915064424,0.03240954338649824
Anticoagulation,0.041954975855152295,0.6271902666968912,0.009973055672208993,0.06947031043852463,0.050670076339230166,0.047751416078409804,0.07938533582725657,0.12875327764598365,0.38793298401077614,0.5692452206154222,0.04549663929942379,0.047027524825552634
Smoking,0.026762238427747817,0.3141806002278412,0.009112834091290802,0.1179983207648759,0.09829742984384397,0.04352248135749809,0.22224202831415105,0.2786073632178357,0.41313639307770034,0.6272397656950645,0.20856520927567693,0.04591387484028654
Alcohol Misuse,0.029062244032592978,0.20701713737506422,0.01265597043937194,0.11144710353660534,0.0679566370424778,0.049225586735039274,0.541289830685325,0.23969846470368883,0.29272286523162194,0.2760758118005644,0.09425933934433348,0.07233366357986393
ICU LOS (days),0.11883034665082058,1.4459403898010803,0.050724928003385794,0.2448042154937628,0.20849277544757208,0.19541304625120157,0.5708849345919044,1.0878983083873315,1.3451684836573234,1.209989013691763,0.39622417214235134,0.22040845824667796
Mech. Ventilation (days),0.06413912421107912,1.5881175419201763,0.03806150144886285,0.11543118273061256,0.15745530614076614,0.13054591350403827,0.37372031071973577,0.5164358036429996,1.0336525772527327,0.6206668853087945,0.1788859380375643,0.15658968648991856
